scope,run_name,method,status,config_path,overrides,tokens_per_iter,max_iters_target,target_tokens,last_iter_seen,last_checkpoint_iter,last_eval_train_loss,last_eval_val_loss,last_step_loss,wandb_run_id,notes
exploratory,baseline-a100-smoke-2026-03-16,baseline,completed,examples/nanogpt/config/train_fineweb10B.py,"wandb_log=False max_iters=20 eval_interval=10 eval_iters=5 log_interval=1 out_dir=out-fineweb10B-baseline-a100-smoke",131072,20,2621440,20,20,10.2392,10.2337,10.2483,not_synced,"Single-A100 smoke run on commit 0bf4884 before the ~1B-token config update."
exploratory,baseline-a100-matchbatch-2026-03-16,baseline,terminated_manually,examples/nanogpt/config/train_fineweb10B.py,"wandb_log=False gradient_accumulation_steps=16 out_dir=out-fineweb10B-baseline-a100-matchbatch",524288,5000,2621440000,4210,4000,4.1772,4.1878,4.1432,not_synced,"Single-A100 run matched the intended effective batch. Stopped manually after about 2.21B tokens; best saved val loss was 4.187753200531006 at iter 4000."
canonical,fineweb-1b-baseline,baseline,planned,examples/nanogpt/config/train_fineweb10B.py,"defaults from config",524288,2000,1048576000,,,,,pending,"Intended 4-GPU effective batch; on 1 GPU this requires gradient_accumulation_steps=16 to match tokens_per_iter."
canonical,fineweb-1b-mhc,mHC,planned,examples/nanogpt/config/train_fineweb10B_mhc.py,"defaults from config",524288,2000,1048576000,,,,,pending,"Intended 4-GPU effective batch; on 1 GPU this requires gradient_accumulation_steps=16 to match tokens_per_iter."
canonical,fineweb-1b-attnres-full,attnres-full,planned,examples/nanogpt/config/train_fineweb10B_attnres_full.py,"defaults from config",524288,2000,1048576000,,,,,pending,"Intended 4-GPU effective batch; on 1 GPU this requires gradient_accumulation_steps=16 to match tokens_per_iter."
canonical,fineweb-1b-attnres-block,attnres-block,planned,examples/nanogpt/config/train_fineweb10B_attnres_block.py,"defaults from config (attnres_block_size=4)",524288,2000,1048576000,,,,,pending,"Intended 4-GPU effective batch; on 1 GPU this requires gradient_accumulation_steps=16 to match tokens_per_iter."
